theta    22     25     30   
4.272566008882119 244.8 -124.09328054931174 -124.0932806698694 -124.09328067723627
4.335397861953914 248.39999999999998 -123.04052402691065 -123.0405241570543 -123.04052416501503
4.39822971502571 251.99999999999997 -121.9117612761775 -121.91176141061823 -121.91176141837971
4.461061568097506 255.6 -120.70348177743661 -120.70348190352739 -120.70348191069455
4.523893421169302 259.2 -119.41200772622487 -119.41200784484958 -119.41200785224632
4.586725274241098 262.8 -118.03352264589398 -118.03352277065099 -118.03352277864627
4.649557127312894 266.4 -116.56411313792005 -116.56411327271424 -116.56411328044598
4.71238898038469 270.0 -114.99982769643306 -114.99982782814794 -114.99982783527246
4.775220833456485 273.6 -113.33675755986819 -113.33675767980174 -113.33675768722846
4.838052686528282 277.2 -111.57114574885946 -111.57114586818356 -111.5711458762322
